,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.0012678477671520002,52826.990298000004,24
3,gemma2,0.002392516870164,132917.603898,18
6,llama3_1B,0.0015573302253120002,97333.13908200001,16
4,llama3_3B,0.004310133206232,153933.328794,28
5,phi3,0.00500855885856,156517.46433,32
1,bitnet_8B,0.009308643770688001,290895.11783400003,32
0,llama3_8B,0.009308643770688001,290895.11783400003,32
