,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.0007331720807520002,30548.836698000006,24
3,gemma2,0.001988696022804,110483.112378,18
6,llama3_1B,0.001082062948512,67628.934282,16
4,llama3_3B,0.0032661085764720005,116646.73487400002,28
5,phi3,0.0037378442448000003,116807.63265000001,32
1,bitnet_8B,0.007717749096768,241179.659274,32
0,llama3_8B,0.007717749096768,241179.659274,32
