,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.0009826874010720001,40945.308378,24
3,gemma2,0.002177145751572,120952.54175399999,18
6,llama3_1B,0.0013038543443520002,81490.89652200001,16
4,llama3_3B,0.0037533200703600005,134047.14537,28
5,phi3,0.004330844397888001,135338.88743400003,32
1,bitnet_8B,0.008460166611264001,264380.20660200005,32
0,llama3_8B,0.008460166611264001,264380.20660200005,32
