,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.001838168499312,76590.354138,24
3,gemma2,0.0028232591073480006,156847.72818600002,18
6,llama3_1B,0.002064281987232,129017.62420199999,16
4,llama3_3B,0.005423759477976001,193705.69564200004,28
5,phi3,0.0063639877799040005,198874.618122,32
1,bitnet_8B,0.011005598089536,343924.940298,32
0,llama3_8B,0.011005598089536,343924.940298,32
