,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.0007688171265120001,32034.046938,24
3,gemma2,0.0020156174126280003,111978.74514600002,18
6,llama3_1B,0.001113747433632,69609.21460200001,16
4,llama3_3B,0.0033357102184560002,119132.50780200001,28
5,phi3,0.0038225585523840003,119454.95476200001,32
1,bitnet_8B,0.007823808741696001,244494.02317800003,32
0,llama3_8B,0.007823808741696001,244494.02317800003,32
