,Model,Energy_tpu_J,Energy_tpu_nJ_per_layer,n_layers
2,bitnet_07,0.0008401072180320001,35004.467418,24
3,gemma2,0.002069460192276,114970.01068200001,18
6,llama3_1B,0.001177116403872,73569.775242,16
4,llama3_3B,0.0034749135024240005,124104.05365800002,28
5,phi3,0.003991987167552,124749.598986,32
1,bitnet_8B,0.008035928031552,251122.750986,32
0,llama3_8B,0.008035928031552,251122.750986,32
