,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_energy,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_pim_J,Energy_tpu_J,tpu_tokens/J,pim_+_tpu_energy,pim_+_tpu_tokens/J,Energy_tpu_nJ_per_layer
2,BitNet - 0.7B,71958,1005706,294768,18088.468543,0.0030196380000000003,0.010057060000000001,24,13.798563492268498,4.143026557131672,0.000434123245032,0.0009826874010720001,1017.6176054654957,0.00044612413461600004,2241.5285845513536,40945.308378
3,Gemma 2B,185457,2970858,297840,68908.451592,0.0031638570000000004,0.029708580000000002,18,17.5594394928581,1.8700171989221817,0.001240352128656,0.002177145751572,459.31697465727945,0.001252478088576,798.4171612430729,120952.54175399999
6,LLaMA3 - 1B,112536,2001594,393024,41345.070955,0.0040427760000000005,0.020015940000000003,16,15.459674243638528,3.122511358447317,0.0006615211352800001,0.0013038543443520002,766.9568340449775,0.0006775223213920001,1475.9661319282513,81490.89652200001
4,LLaMA3 - 3B,153119,3292490,494352,82203.103995,0.005096639,0.0329249,28,7.0074191470664715,1.0847196411920983,0.00230168691186,0.0037533200703600005,266.43078161572424,0.0023218134648360002,430.6978209684189,134047.14537
5,Phi-3.8B,153119,3324218,526080,82203.103995,0.0054139190000000005,0.03324218,32,5.772158763365318,0.9400707173837576,0.00263049932784,0.004330844397888001,230.90185380192014,0.00265191762288,377.08561961815144,135338.88743400003
1,BitNet - 8B,279318,6493754,659136,172235.075038,0.006870678000000001,0.06493754,32,4.548313863639075,0.4812316573741475,0.005511522401216001,0.008460166611264001,118.20098184219965,0.005538357805184001,180.55893735575955,264380.20660200005
0,LLaMA3 - 8B,279318,6493754,659136,172235.075038,0.006870678000000001,0.06493754,32,4.548313863639075,0.4812316573741475,0.005511522401216001,0.008460166611264001,118.20098184219965,0.005538357805184001,180.55893735575955,264380.20660200005
