,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_energy,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_pim_J,Energy_tpu_J,tpu_tokens/J,pim_+_tpu_energy,pim_+_tpu_tokens/J,Energy_tpu_nJ_per_layer
2,BitNet - 0.7B,71958,859786,148848,18088.468543,0.0015604380000000001,0.00859786,24,26.701904636176934,4.846167147018754,0.000434123245032,0.0008401072180320001,1190.324256875876,0.00044018329365600004,2271.7809022109154,35004.467418
3,Gemma 2B,185457,2823914,150896,68908.451592,0.0016944170000000001,0.028239140000000003,18,32.787416294545885,1.9673246265840798,0.001240352128656,0.002069460192276,483.21779937221027,0.001246495557504,802.2491488075689,114970.01068200001
6,LLaMA3 - 1B,112536,1807034,198464,41345.070955,0.002097176,0.01807034,16,29.80198133108523,3.4587063663439648,0.0006615211352800001,0.001177116403872,849.5336541998784,0.000669601200112,1493.4262361428507,73569.775242
4,LLaMA3 - 3B,153119,3048266,250128,82203.103995,0.002654399,0.03048266,28,13.454754057052357,1.171626285707537,0.00230168691186,0.0034749135024240005,287.77694734053915,0.002311870373124,432.5502033441058,124104.05365800002
5,Phi-3.8B,153119,3064122,265984,82203.103995,0.0028129590000000003,0.03064122,32,11.109298073665487,1.0198680078665274,0.00263049932784,0.003991987167552,250.5018072523586,0.002641328334432,378.59738487038317,124749.598986
1,BitNet - 8B,279318,6168122,333504,172235.075038,0.0036143580000000002,0.06168122,32,8.64607213784578,0.5066371903798271,0.005511522401216001,0.008035928031552,124.44113437472727,0.005525100349568001,180.99218778500347,251122.750986
0,LLaMA3 - 8B,279318,6168122,333504,172235.075038,0.0036143580000000002,0.06168122,32,8.64607213784578,0.5066371903798271,0.005511522401216001,0.008035928031552,124.44113437472727,0.005525100349568001,180.99218778500347,251122.750986
