,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_energy,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_pim_J,Energy_tpu_J,tpu_tokens/J,pim_+_tpu_energy,pim_+_tpu_tokens/J,Energy_tpu_nJ_per_layer
2,BitNet - 0.7B,71958,1297546,586608,18088.468543,0.0059380380000000005,0.012975460000000001,24,7.016908053917247,3.211189943683435,0.000434123245032,0.0012678477671520002,788.7382270241532,0.00045800581653600005,2183.37838493673,52826.990298000004
3,Gemma 2B,185457,3264746,591728,68908.451592,0.0061027370000000004,0.03264746,18,9.103383540132166,1.7016807909575675,0.001240352128656,0.002392516870164,417.9698845473357,0.0012644431507200001,790.861969105198,132917.603898
6,LLaMA3 - 1B,112536,2390714,782144,41345.070955,0.007933976,0.02390714,16,7.877513115744237,2.6142817585039446,0.0006615211352800001,0.0015573302253120002,642.1245691803465,0.000693364563952,1442.2427276932883,97333.13908200001
4,LLaMA3 - 3B,153119,3780938,982800,82203.103995,0.009981119,0.037809380000000004,28,3.5781845416616824,0.9445879756368846,0.00230168691186,0.004310133206232,232.0113908670166,0.00234169964826,427.0402486258432,153933.328794
5,Phi-3.8B,153119,3844410,1046272,82203.103995,0.010615839,0.0384441,32,2.9437145759275363,0.8128685546026568,0.00263049932784,0.00500855885856,199.65823068863924,0.0026730961997760002,374.0980216438892,156517.46433
1,BitNet - 8B,279318,7145018,1310400,172235.075038,0.013383318000000002,0.07145018,32,2.3349964485638015,0.43736768752716926,0.005511522401216001,0.009308643770688001,107.42703498321647,0.005564872716416001,179.69862941340367,290895.11783400003
0,LLaMA3 - 8B,279318,7145018,1310400,172235.075038,0.013383318000000002,0.07145018,32,2.3349964485638015,0.43736768752716926,0.005511522401216001,0.009308643770688001,107.42703498321647,0.005564872716416001,179.69862941340367,290895.11783400003
