,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_energy,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_pim_J,Energy_tpu_J,tpu_tokens/J,pim_+_tpu_energy,pim_+_tpu_tokens/J,Energy_tpu_nJ_per_layer
2,BitNet - 0.7B,71958,1881226,1170288,18088.468543,0.011774838000000001,0.01881226,24,3.538619101737677,2.214867680260993,0.000434123245032,0.001838168499312,544.0197677058907,0.000481769180376,2075.682797350265,76590.354138
3,Gemma 2B,185457,3852522,1179504,68908.451592,0.011980497000000001,0.038525220000000006,18,4.637166183970126,1.4420568021559785,0.001240352128656,0.0028232591073480006,354.20057528454754,0.001288373275008,776.1725731184471,156847.72818600002
6,LLaMA3 - 1B,112536,3168954,1560384,41345.070955,0.015716376,0.03168954,16,3.9767437480498047,1.9722596162645465,0.0006615211352800001,0.002064281987232,484.4299403788831,0.0007250490490720001,1379.217035426656,129017.62420199999
4,LLaMA3 - 3B,153119,4757834,1959696,82203.103995,0.019750079,0.047578340000000004,28,1.8083110307703434,0.750641693558155,0.00230168691186,0.005423759477976001,184.37395759540073,0.0023814720151080003,419.9083565357999,193705.69564200004
5,Phi-3.8B,153119,4884794,2086656,82203.103995,0.021019679000000003,0.048847940000000006,32,1.4867020566774591,0.6397403861861932,0.00263049932784,0.0063639877799040005,157.1341797917602,0.002715453353568,368.26263234683773,198874.618122
1,BitNet - 8B,279318,8447546,2612928,172235.075038,0.026408598000000002,0.08447546,32,1.183326733210146,0.36992991810876197,0.005511522401216001,0.011005598089536,90.86284923949647,0.005617902538880001,178.00237598984097,343924.940298
0,LLaMA3 - 8B,279318,8447546,2612928,172235.075038,0.026408598000000002,0.08447546,32,1.183326733210146,0.36992991810876197,0.005511522401216001,0.011005598089536,90.86284923949647,0.005617902538880001,178.00237598984097,343924.940298
