,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_energy,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_pim_J,Energy_tpu_J,tpu_tokens/J,pim_+_tpu_energy,pim_+_tpu_tokens/J,Energy_tpu_nJ_per_layer
2,BitNet - 0.7B,71958,750346,39408,18088.468543,0.00046603800000000005,0.007503460000000001,24,89.40615715170578,5.552993774427619,0.000434123245032,0.0007331720807520002,1363.9362794261338,0.00043572766293600005,2295.011506182201,30548.836698000006
3,Gemma 2B,185457,2713706,40688,68908.451592,0.0005923370000000001,0.02713706,18,93.79045299475729,2.047220869009228,0.001240352128656,0.001988696022804,502.8420575760145,0.0012420086592,805.1473655941479,110483.112378
6,LLaMA3 - 1B,112536,1661114,52544,41345.070955,0.0006379760000000001,0.01661114,16,97.96606768906666,3.76253526248048,0.0006615211352800001,0.001082062948512,924.1606519982512,0.0006636603591520001,1506.7948329440105,67628.934282
4,LLaMA3 - 3B,153119,2865098,66960,82203.103995,0.0008227190000000001,0.028650980000000003,28,43.41006554398976,1.2465292885020236,0.00230168691186,0.0032661085764720005,306.1747570805452,0.00230441305434,433.94998050226155,116646.73487400002
5,Phi-3.8B,153119,2869050,70912,82203.103995,0.0008622390000000001,0.0286905,32,36.24285145997803,1.0892107143479548,0.00263049932784,0.0037378442448000003,267.5338870503168,0.002633386368096,379.739187578093,116807.63265000001
1,BitNet - 8B,279318,5923898,89280,172235.075038,0.001172118,0.059238980000000004,32,26.661138213046808,0.5275242754010957,0.005511522401216001,0.007717749096768,129.57145761822898,0.005515157257856001,181.3184925190595,241179.659274
0,LLaMA3 - 8B,279318,5923898,89280,172235.075038,0.001172118,0.059238980000000004,32,26.661138213046808,0.5275242754010957,0.005511522401216001,0.007717749096768,129.57145761822898,0.005515157257856001,181.3184925190595,241179.659274
