,Pim Latency (ns),Buffer Latency (ns),Digital Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Model,Systolic_Array_latency
4,175217,25600.0,655.890944,1812.48164352,13.0,157376.40000000002,28762.000000000004,gemma2,2978400
2,102296,25600.0,655.890944,1812.48164352,13.0,84455.6,26292.4,llama3_1b,3930240
1,142879,25600.0,655.890944,1812.48164352,13.0,125038.0,32878.0,llama3_3b,4943520
0,269078,25600.0,655.890944,1812.48164352,13.0,251236.8,41521.600000000006,bitnet_8b,6591360
3,269078,25600.0,655.890944,1812.48164352,13.0,251236.8,41521.600000000006,llama3_8b,6591360
