,Pim Latency (ns),Buffer Latency (ns),Digital Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Model,Systolic_Array_latency
4,175217,25600.0,655.890944,1812.48164352,13.0,157376.40000000002,28762.000000000004,gemma2,1508960
1,102296,25600.0,655.890944,1812.48164352,13.0,84455.6,26292.4,llama3_1B,1984640
0,142879,25600.0,655.890944,1812.48164352,13.0,125038.0,32878.0,llama3_3B,2501280
3,142879,25600.0,655.890944,1812.48164352,13.0,125038.0,32878.0,phi3,2659840
2,269078,25600.0,655.890944,1812.48164352,13.0,251236.8,41521.600000000006,llama3_8B,3335040
